0	1	2	1	1.41	2.23	2	2.23	2.82	3.16	3
1	0	1	1.41	1	1.41	2.23	2	2.23	3	2
2	1	0	2.23	1.41	1	2.82	2.23	2	3.16	1
1	1.41	2.23	0	1	2	1	1.41	2.23	2.23	3.16
1.41	1	1.41	1	0	1	1.41	1	1.41	2	2.23
2.23	1.41	1	2	1	0	2.23	1.41	1	2.23	1.41
2	2.23	2.82	1	1.41	2.23	0	1	2	1.41	3.6
2.23	2	2.23	1.41	1	1.41	1	0	1	1	2.82
2.82	2.23	2	2.23	1.41	1	2	1	0	1.41	2.23
3.16	3	3.16	2.23	2	2.23	1.41	1	1.41	0	3.6
3	2	1	3.16	2.23	1.41	3.6	2.82	2.23	3.6	0
